ATK sifra;Oznaka;Nezasticeno ime lijeka;DDD i jed mj;Cijena u kn za DDD;Cijena u kn za DDD s PDV-om;Nacin primjene;Nositelj odobrenja;Proizvodac;Zasticeno ime lijeka;Oblik, jacina i pakiranje lijeka;Cijena u kn za jed obl;Cijena u kn za jed obl s PDV-om;Cijena u kn za orig pak;Cijena u kn za orig pak s PDV-om;R;Oznaka indikacije;Oznaka smjernice;Sifra grupe;Grupa;Sifra podgrupe;Podgrupa;Lista
A02BA03 131;;famotidin;40 mg;1.98;2.08;O;KRKA-FARMA d.o.o.;Krka d.d.;Ulfamid;tbl. 20x20 mg;0.99;1.04;19.8;20.79;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA03 132;;famotidin;40 mg;1.81;1.9;O;KRKA-FARMA d.o.o.;Krka d.d.;Ulfamid;tbl. 10x40 mg;1.81;1.9;18.07;18.97;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA03 141;;famotidin;40 mg;1.98;2.08;O;Alkaloid d.o.o.;Alkaloid;Famosan;tbl. 20x20 mg;0.99;1.04;19.8;20.79;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA03 142;;famotidin;40 mg;1.81;1.9;O;Alkaloid d.o.o.;Alkaloid;Famosan;tbl. 10x40 mg;1.81;1.9;18.07;18.97;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 036;DS;omeprazol;20 mg;11.94;12.54;P;KRKA-FARMA d.o.o.;Krka d.d.;Ultop;praš. za otop. za inf., lio boč. 1x40 mg;23.88;25.07;23.88;25.07;;NA201;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 101;;omeprazol;20 mg;1.5;1.58;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Ulzol;caps. 14x20 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 111;;omeprazol;20 mg;1.01;1.06;O;Belupo d.d.;Belupo;Target plus;caps. 14x20 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 112;;omeprazol;20 mg;1.01;1.06;O;Belupo d.d.;Belupo;Target plus;caps. 28x20 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 116;;omeprazol;20 mg;1.05;1.1;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Ortalox;caps. 28x10 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 118;;omeprazol;20 mg;1.01;1.06;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Ortalox;caps. 28x20 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 131;;omeprazol;20 mg;1.5;1.58;O;KRKA-FARMA d.o.o.;Krka d.d.;Ultop;caps. 14x20 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 132;;omeprazol;20 mg;1.5;1.57;O;KRKA-FARMA d.o.o.;Krka d.d.;Ultop S;caps. 28x10 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 134;;omeprazol;20 mg;0.87;0.91;O;KRKA-FARMA d.o.o.;Krka d.d.;Ultop;caps. 28x40 mg;1.73;1.82;48.53;50.96;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 135;;omeprazol;20 mg;1.5;1.58;O;KRKA-FARMA d.o.o.;Krka d.d.;Ultop;caps. 28x20 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC01 142;;omeprazol;20 mg;1.5;1.58;O;Farmal d.d.;Farmal d.d.;Omezol;caps. žel. otp. 28x20 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 011;DS;pantoprazol;40 mg;18.04;18.94;P;Belupo d.d.;Belupo;Zoltex;praš. za otop. za inj., boč. stakl. 1x40 mg;18.04;18.94;18.04;18.94;;NA201;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 021;DS;pantoprazol;40 mg;24.74;25.98;P;Sandoz d.o.o.;Sandoz-Lek;Acipan;praš. za otop. za inj., boč. stakl. 1x40 mg;24.74;25.98;24.74;25.98;;NA201;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 022;DS;pantoprazol;40 mg;16.24;17.05;P;Sandoz d.o.o.;Sandoz-Lek;Acipan;praš. za otop. za inj., boč. stakl. 10x40 mg;16.24;17.05;162.36;170.48;;NA201;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 030;DS;pantoprazol;40 mg;27.49;28.86;P;KRKA-FARMA d.o.o.;Krka d.d.;Nolpaza;praš. za otop. za inj., boč. 1x40 mg;27.49;28.86;27.49;28.86;;NA201;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 101;;pantoprazol;40 mg;1.05;1.1;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Zipantola;tbl. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 102;;pantoprazol;40 mg;0.98;1.03;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Zipantola;tbl. 56x20 mg;0.49;0.52;27.55;28.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 103;;pantoprazol;40 mg;1.15;1.2;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Zipantola;tbl. 14x40 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 104;;pantoprazol;40 mg;1.01;1.06;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Zipantola;tbl. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 111;;pantoprazol;40 mg;1.5;1.58;O;Belupo d.d.;Belupo;Zoltex;tbl. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 112;;pantoprazol;40 mg;2.25;2.36;O;Belupo d.d.;Belupo;Zoltex;tbl. 56x20 mg;0.49;0.52;27.55;28.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 113;;pantoprazol;40 mg;1.5;1.58;O;Belupo d.d.;Belupo;Zoltex;tbl. 14x40 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 114;;pantoprazol;40 mg;1.49;1.56;O;Belupo d.d.;Belupo;Zoltex;tbl. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 115;;pantoprazol;40 mg;2.22;2.33;O;Farmal d.d.;Farmal d.d.;Apazol;tbl. film žel. otp. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 116;;pantoprazol;40 mg;2.26;2.37;O;Farmal d.d.;Farmal d.d.;Apazol;tbl. film žel. otp. 56x20 mg;0.49;0.52;27.55;28.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 118;;pantoprazol;40 mg;1.22;1.28;O;Farmal d.d.;Farmal d.d.;Apazol;tbl. film žel. otp. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 121;;pantoprazol;40 mg;1.05;1.1;O;Sandoz d.o.o.;Sandoz-Lek;Acipan;tbl. žel. otp. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 122;;pantoprazol;40 mg;0.98;1.03;O;Sandoz d.o.o.;Sandoz-Lek;Acipan;tbl. žel. otp. 56x20 mg;0.49;0.52;27.55;28.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 123;;pantoprazol;40 mg;1.15;1.2;O;Sandoz d.o.o.;Sandoz-Lek;Acipan;tbl. žel. otp. 14x40 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 124;;pantoprazol;40 mg;1.01;1.06;O;Sandoz d.o.o.;Sandoz-Lek;Acipan;tbl. žel. otp. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 126;;pantoprazol;40 mg;1.05;1.1;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Zoprax;tbl. žel. otp. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 127;;pantoprazol;40 mg;0.98;1.03;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Zoprax;tbl. žel. otp. 56x20 mg;0.49;0.52;27.55;28.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 128;;pantoprazol;40 mg;1.01;1.06;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Zoprax;tbl. žel. otp. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 129;;pantoprazol;40 mg;1.01;1.06;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Zoprax;tbl. žel. otp. 56x40 mg;1.01;1.06;56.62;59.45;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 131;;pantoprazol;40 mg;1.05;1.1;O;KRKA-FARMA d.o.o.;KRKA-FARMA d.o.o.;Nolpaza;tbl. film obl. žel. otp. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 132;;pantoprazol;40 mg;0.98;1.03;O;KRKA-FARMA d.o.o.;KRKA-FARMA d.o.o.;Nolpaza;tbl. film obl. žel. otp. 56x20 mg;0.49;0.52;27.55;28.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 133;;pantoprazol;40 mg;1.2;1.26;O;KRKA-FARMA d.o.o.;KRKA-FARMA d.o.o.;Nolpaza;tbl. film obl. žel. otp. 30x20 mg;0.52;0.55;15.68;16.46;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 134;;pantoprazol;40 mg;1.24;1.3;O;KRKA-FARMA d.o.o.;KRKA-FARMA d.o.o.;Nolpaza;tbl. film obl. žel. otp. 60x20 mg;0.49;0.52;29.52;31;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 135;;pantoprazol;40 mg;1.15;1.2;O;KRKA-FARMA d.o.o.;KRKA-FARMA d.o.o.;Nolpaza;tbl. film obl. žel. otp. 14x40 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 136;;pantoprazol;40 mg;1.01;1.06;O;KRKA-FARMA d.o.o.;KRKA-FARMA d.o.o.;Nolpaza;tbl. film obl. žel. otp. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 137;;pantoprazol;40 mg;1.05;1.1;O;Alkaloid d.o.o.;West Pharma, Atlantic Pharma;Pantoprazol Alkaloid;tbl. žel. otp. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 138;;pantoprazol;40 mg;0.98;1.03;O;Alkaloid d.o.o.;West Pharma, Atlantic Pharma;Pantoprazol Alkaloid;tbl. žel. otp. 28x40 mg;0.98;1.03;27.44;28.81;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 141;;pantoprazol;40 mg;1.1;1.16;O;PharmaS d.o.o.;PharmaS d.o.o.;Pantoprazol PharmaS;tbl. žel. otp. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 142;;pantoprazol;40 mg;0.86;0.9;O;PharmaS d.o.o.;PharmaS d.o.o.;Pantoprazol PharmaS;tbl. žel. otp. 56x20 mg;0.43;0.45;24.04;25.24;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 144;;pantoprazol;40 mg;0.89;0.94;O;PharmaS d.o.o.;PharmaS d.o.o.;Pantoprazol PharmaS;tbl. žel. otp. 28x40 mg;0.89;0.94;25.04;26.29;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 146;;pantoprazol;40 mg;1.05;1.1;O;Mylan Hrvatska d.o.o.;Genera d.d.;Protizole;tbl. žel. otp. 28x20 mg;0.52;0.55;14.63;15.36;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 147;;pantoprazol;40 mg;0.98;1.03;O;Mylan Hrvatska d.o.o.;Genera d.d.;Protizole;tbl. žel. otp. 56x20 mg;0.49;0.52;27.55;28.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 148;;pantoprazol;40 mg;1.15;1.2;O;Mylan Hrvatska d.o.o.;Genera d.d.;Protizole;tbl. žel. otp. 14x40 mg;1.01;1.06;14.16;14.87;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 149;;pantoprazol;40 mg;1.01;1.06;O;Mylan Hrvatska d.o.o.;Genera d.d.;Protizole;tbl. žel. otp. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 162;;pantoprazol;40 mg;1.01;1.06;O;Takeda Pharmaceuticals Croatia d.o.o.;Takeda;Controloc;tbl. 28x40 mg;1.01;1.06;28.31;29.73;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 171;;pantoprazol;40 mg;1.2;1.26;O;STADA d.o.o.;STADA;Peptix;tbl. žel. otp. 30x20 mg;0.52;0.55;15.68;16.46;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 172;;pantoprazol;40 mg;1.23;1.3;O;STADA d.o.o.;STADA;Peptix;tbl. žel. otp. 60x20 mg;0.49;0.52;29.52;31;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 173;;pantoprazol;40 mg;1.16;1.22;O;STADA d.o.o.;STADA;Peptix;tbl. žel. otp. 15x40 mg;1.01;1.06;15.17;15.93;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BC02 174;;pantoprazol;40 mg;1.06;1.12;O;STADA d.o.o.;STADA;Peptix;tbl. žel. otp. 30x40 mg;1.01;1.06;30.33;31.85;R;;RA02;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
